Flight,Airline,Origin,Destination,Departure Time,Arrival Time,Distance,Weather,Delay,Departure Hour,Delay_Status
IX511,1,1,6,18:30,19:40,360,0,11,18,1
UK622,5,2,3,19:15,22:00,1760,2,54,19,1
AI733,0,8,9,20:00,20:55,150,3,0,20,0
6E844,3,0,7,21:30,23:45,1500,0,16,21,1
SG955,4,4,3,22:15,00:45,1500,2,58,22,1
AK166,2,6,8,05:15,07:00,1200,3,0,5,0
IX277,1,3,0,06:00,07:30,950,1,27,6,1
UK388,5,5,9,07:45,09:15,560,0,12,7,1
AI499,0,8,4,08:30,09:35,435,2,40,8,1
6E511,3,1,2,09:15,10:20,350,3,0,9,0
SG622,4,7,1,10:45,13:15,1560,0,18,10,1
AK733,2,3,7,11:30,13:30,1300,2,49,11,1
IX844,1,2,6,12:15,13:30,690,1,30,12,1
UK955,5,9,8,13:45,14:40,150,3,0,13,0
AI166,0,4,5,14:30,16:00,700,0,15,14,1
6E277,3,8,3,15:15,17:25,1150,2,45,15,1
SG388,4,0,2,16:00,18:10,1450,3,0,16,0
AK499,2,1,3,17:30,20:00,1740,1,35,17,1
IX600,1,7,6,18:15,21:15,2200,0,20,18,1
UK711,5,3,4,19:00,21:30,1500,2,57,19,1
AI822,0,2,9,20:15,22:15,1100,3,0,20,0
6E933,3,5,8,21:00,22:30,620,0,13,21,1
SG144,4,8,1,22:30,00:15,980,1,29,22,1
AK255,2,3,6,05:45,08:45,2200,2,62,5,1
IX366,1,9,3,06:30,08:15,1170,3,0,6,0
UK477,5,8,2,07:15,09:15,1030,0,14,7,1
AI588,0,1,5,08:00,09:15,570,2,38,8,1
6E699,3,4,8,09:30,10:35,435,3,0,9,0
SG700,4,3,9,10:15,12:15,1170,1,33,10,1
AK811,2,2,4,11:00,12:30,850,0,16,11,1
IX922,1,0,3,12:45,14:15,950,2,44,12,1
UK133,5,6,2,13:30,14:45,690,3,0,13,0
AI244,0,8,7,14:15,16:45,1650,0,18,14,1
6E355,3,3,1,15:00,17:30,1740,2,51,15,1
SG466,4,5,3,16:45,19:00,1250,1,31,16,1
AK577,2,9,6,17:30,19:00,1200,3,0,17,0
IX688,1,4,2,18:15,20:00,850,0,12,18,1
UK799,5,1,8,19:00,20:45,980,2,42,19,1
